,City,Latitude,Longitude,Max_temp,Humidity,Clouds,Wind_speed,Country,Date
599,mar%20del%20plata,-38.0023,-57.5575,64.0,72,75,11.5,AR,1612151713
600,akyab,20.15,92.9,72.46,25,0,7.38,MM,1612151826
601,sao%20jose%20da%20coroa%20grande,-8.8978,-35.1478,77.49,81,100,7.38,BR,1612151826
602,abalak,58.1286,68.5944,3.09,95,33,5.82,RU,1612151826
603,saint%20george,37.1041,-113.5841,50.0,46,1,4.61,US,1612151542
604,nemuro,43.3236,145.575,24.8,58,20,8.05,JP,1612151826
605,belaya%20gora,68.5333,146.4167,-27.35,85,100,2.48,RU,1612151826
606,pak%20phanang,8.3511,100.202,86.0,74,75,4.61,TH,1612151826
607,mackenzie,55.2999,-123.1698,17.6,93,90,2.33,CA,1612151827
608,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
609,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
610,bridlington,54.0831,-0.1919,37.99,83,71,5.01,GB,1612151540
611,watsa,3.0372,29.5355,65.16,49,88,2.98,CD,1612151828
612,yuli,9.6989,10.2744,70.09,23,16,6.22,NG,1612151828
613,ilo,-17.6394,-71.3375,68.09,80,69,5.17,PE,1612151828
614,puerto%20ayora,-0.7393,-90.3518,78.01,91,36,3.0,EC,1612151735
615,iquitos,-3.7481,-73.2472,73.4,94,90,1.14,PE,1612151595
616,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
617,miri,4.4148,114.0089,86.0,79,40,6.91,MY,1612151829
618,kraksaan,-7.7585,113.3962,84.61,70,100,6.13,ID,1612151829
619,merauke,-8.4667,140.3333,81.79,83,89,12.46,ID,1612151829
620,catuday,16.2923,119.8062,77.94,61,3,5.53,PH,1612151829
621,baruun-urt,46.6806,113.2792,-14.57,81,0,10.02,MN,1612151829
622,cabo%20san%20lucas,22.8909,-109.9124,66.0,88,20,1.43,MX,1612151763
623,iguape,-24.7081,-47.5553,78.76,76,100,4.5,BR,1612151830
624,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
625,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
626,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
627,berdigestyakh,62.0989,126.6992,-39.21,79,100,6.06,RU,1612151580
628,gornopravdinsk,60.05,69.9,4.39,94,97,5.46,RU,1612151830
629,qui%20nhon,13.7667,109.2333,75.24,72,97,12.37,VN,1612151831
630,umm%20lajj,25.0213,37.2685,70.2,33,0,2.62,SA,1612151831
631,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
632,ust-maya,60.4167,134.5333,-36.17,78,100,4.59,RU,1612151831
633,san%20andres,12.5847,-81.7006,80.6,78,40,13.8,CO,1612151831
634,mar%20del%20plata,-38.0023,-57.5575,64.0,72,75,11.5,AR,1612151713
635,les%20cayes,18.2,-73.75,73.42,78,52,4.38,HT,1612151831
636,lata,40.1629,-8.3327,57.0,93,89,4.32,PT,1612151831
637,el%20alto,-4.2714,-81.2147,72.73,82,87,17.38,PE,1612151832
638,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
639,bara,10.3744,10.7288,65.73,27,2,4.9,NG,1612151832
640,simav,39.0882,28.9777,38.3,80,97,8.93,TR,1612151832
641,sabang,5.8933,95.3214,81.36,80,55,19.13,ID,1612151832
642,mar%20del%20plata,-38.0023,-57.5575,64.0,72,75,11.5,AR,1612151713
643,salalah,17.0151,54.0924,68.0,64,20,3.44,OM,1612151832
644,pacific%20grove,36.6177,-121.9166,54.0,82,1,6.13,US,1612151571
645,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
646,san%20patricio,28.017,-97.5169,59.0,44,1,9.22,US,1612151778
647,maningrida,-12.0667,134.2667,88.21,68,99,11.54,AU,1612151577
648,linxia,35.6003,103.2064,31.3,71,0,3.42,CN,1612151833
649,cape%20town,-33.9258,18.4232,64.0,72,0,21.85,ZA,1612151454
650,narsaq,60.9167,-46.05,41.0,30,75,14.97,GL,1612151833
651,new%20norfolk,-42.7826,147.0587,72.0,56,75,12.66,AU,1612151730
652,mweka,-4.85,21.5667,67.82,98,91,0.49,CD,1612151537
653,noyabrsk,63.1994,75.4507,-0.69,93,99,9.28,RU,1612151834
654,northam,51.0333,-4.2167,41.0,94,100,1.01,GB,1612151834
655,finnsnes,69.2296,17.9811,6.8,85,40,1.95,NO,1612151834
656,riyadh,24.6877,46.7219,53.6,35,0,4.25,SA,1612151666
657,hornepayne,49.2138,-84.7705,4.39,94,100,4.03,CA,1612151834
658,pita,10.8333,-12.5833,68.2,24,17,4.36,GN,1612151834
659,port%20hardy,50.6996,-127.4199,42.8,100,90,4.61,CA,1612151806
660,sawakin,19.1059,37.3321,71.64,75,100,7.43,SD,1612151834
661,santa%20cruz%20de%20la%20palma,28.6835,-17.7642,62.6,82,0,11.5,ES,1612151652
662,valparaiso,-33.0393,-71.6273,59.52,84,5,9.98,CL,1612151835
663,ambo,-10.1308,-76.2047,60.62,67,100,0.4,PE,1612151835
664,axim,4.8699,-2.2405,78.39,88,10,6.76,GH,1612151835
665,punta%20arenas,-53.15,-70.9167,53.6,62,90,29.93,CL,1612151626
666,norman%20wells,65.282,-126.8329,-23.8,76,75,5.75,CA,1612151731
667,haines%20junction,60.7522,-137.5108,3.2,66,100,9.22,CA,1612151532
668,north%20bend,43.4065,-124.2243,51.01,95,100,1.99,US,1612151778
669,mar%20del%20plata,-38.0023,-57.5575,64.0,72,75,11.5,AR,1612151713
670,makakilo%20city,21.3469,-158.0858,80.6,47,1,8.05,US,1612151552
671,clyde%20river,70.4692,-68.5914,-4.0,84,90,23.02,CA,1612151805
672,bayonet%20point,28.3267,-82.6834,70.0,85,9,1.01,US,1612151836
673,qasigiannguit,68.8193,-51.1922,8.6,52,75,6.91,GL,1612151837
674,khandbari,27.3747,87.2039,61.12,38,20,2.53,NP,1612151837
675,port%20alfred,-33.5906,26.891,66.99,85,89,5.01,ZA,1612151746
676,mindelo,16.8901,-24.9804,69.8,83,40,23.02,CV,1612151837
677,guerrero%20negro,27.9769,-114.0611,64.04,56,100,2.39,MX,1612151541
678,ribeira%20grande,38.5167,-28.7,63.34,84,99,33.13,PT,1612151732
